5-TP
0.42
0.26
0.238
0.313
0.239
0.306
0.288
0.239
0.332
0.327
0.518
0.301
0.376
0.544
0.494
0.31
0.256
2.638
0.432
0.355
0.265
0.31
11.536
0.206
0.262
0.214
0.277
0.413
0.417
0.337
