6k-RS
0.354
0.319
0.256
0.473
0.453
0.23
0.28
0.369
0.242
0.411
0.463
0.373
0.269
0.272
0.31
0.417
0.222
0.215
4.608
3.198
0.432
0.286
0.359
0.298
0.382
3.659
0.467
0.423
3.486
0.501
