1-TP
1.126
1.328
0.311
0.226
0.361
1.132
0.275
0.384
0.314
0.234
0.225
0.5
0.337
0.486
0.421
0.495
0.393
0.465
0.215
2.027
0.213
0.22
0.515
0.326
0.221
0.377
0.213
0.196
0.202
0.191
