5k-RS
0.877
0.245
0.367
0.675
0.295
0.342
0.427
0.256
0.555
0.321
0.734
0.663
1.031
0.925
0.307
0.233
0.277
0.194
0.197
0.243
0.225
0.309
0.676
0.329
2.606
0.233
0.291
0.839
0.224
0.565
