3-PV
0.316
0.415
0.321
0.312
0.33
0.652
0.379
3.922
0.351
1.036
0.666
0.314
0.31
0.334
0.366
0.365
0.343
0.877
0.332
1.293
0.395
0.356
0.399
0.344
0.451
0.391
0.322
7.362
0.385
0.359
