1k-RS
0.224
0.241
0.237
0.243
0.22
0.296
0.343
0.352
0.261
0.39
0.445
0.309
0.244
0.216
0.251
0.202
0.201
0.195
0.233
0.202
0.224
0.2
0.227
0.196
0.243
0.213
0.219
0.214
0.231
0.243
