7-PV
0.455
0.487
0.822
0.226
0.264
0.237
0.327
0.301
0.655
0.689
0.712
0.951
4.158
3.641
0.769
0.243
3.104
0.334
0.533
0.39
0.542
0.247
0.257
0.507
0.455
9.5
0.28
0.324
0.447
1.178
