9k-RS
0.225
0.249
2.116
0.341
1.542
1.504
0.235
1.519
0.233
1.562
0.24
1.623
0.896
1.31
1.467
0.23
3.496
1.473
1.427
0.226
2.068
1.499
1.452
1.475
1.408
0.28
0.264
1.454
1.529
1.441
