10k-RS
0.523
0.328
3.028
0.892
0.479
0.509
0.54
0.541
0.362
0.419
0.27
0.686
1.087
0.839
0.441
0.258
1.188
0.284
0.674
0.248
0.564
0.345
1.173
0.615
1.687
0.28
0.575
0.619
0.466
0.735
0.489
