2k-RS
0.252
0.224
0.318
0.381
0.232
0.225
0.234
0.336
0.21
0.31
0.255
0.257
0.213
0.254
0.412
0.241
0.213
0.234
0.245
0.3
0.237
2.45
0.416
0.306
0.365
0.245
0.284
0.308
0.302
0.232
