8-TP
0.341
0.407
0.325
0.419
0.308
0.343
0.811
0.225
0.332
0.305
0.29
0.469
0.34
0.349
0.359
0.249
0.586
0.485
0.289
0.378
0.206
0.333
0.449
0.502
0.399
0.406
0.384
0.617
0.417
0.526
