4k-RS
0.36
0.239
0.314
0.439
0.431
0.873
3.889
0.564
0.344
0.351
0.362
0.422
0.944
0.649
1.122
0.702
0.323
2.954
1.124
0.326
0.587
1.341
0.573
0.35
2.813
0.622
0.278
0.26
0.366
0.331
