4-TP
0.217
0.209
0.287
0.223
0.235
0.344
0.226
0.332
0.221
0.454
0.216
0.253
0.231
0.212
0.304
0.32
0.224
0.238
0.221
0.231
0.224
0.203
0.224
0.21
0.265
0.208
0.258
1.396
0.223
0.283
