9-TP
0.221
0.287
0.291
0.399
0.368
0.26
0.327
3.124
0.291
3.194
0.516
0.607
0.403
0.271
0.417
0.361
4.249
0.528
0.245
0.216
0.252
4.168
2.494
0.207
0.271
0.29
2.61
4.484
0.336
0.465
