2-PV
0.248
0.397
0.296
0.284
0.226
0.489
0.34
2.621
0.497
0.418
0.266
0.439
0.238
0.215
0.45
0.25
0.221
0.211
0.321
0.629
0.272
0.28
0.236
0.21
0.234
0.263
0.209
0.229
0.293
0.815
