4-PV
0.346
0.214
0.224
0.218
0.369
0.233
0.237
0.231
0.268
0.281
0.272
0.342
0.308
0.241
0.35
0.568
0.584
0.369
0.452
0.351
0.287
0.245
0.225
0.412
0.278
0.204
0.324
1.904
0.502
0.226
