,No. of Triple Patterns (TP),Avg. queries exection time(sec)
0,1,0.04373333333333333
1,2,0.15043333333333334
2,3,0.3333333333333333
3,4,0.16613333333333333
4,5,0.2405
5,6,0.1904
6,7,0.18636666666666668
7,8,0.23706666666666668
8,9,0.3133
9,10,0.5478
