,No. of Projection Variables (PV),Avg. queries exection time(sec)
0,1,0.07256666666666667
1,2,0.15196666666666667
2,3,0.2861
3,4,0.18782758620689655
4,5,0.3178666666666667
5,6,0.20266666666666666
6,7,0.23143333333333332
7,8,0.27423333333333333
8,9,0.34623333333333334
9,10,0.7837999999999999
