,7-RS
0,5.007
1,33.763
2,14.106
3,10.515
4,24.519
5,0.454
6,3.991
7,4.993
8,5.252
9,0.402
10,0.33
11,76.54
12,0.387
13,6.224
14,4.785
15,3.644
16,3.552
17,2.964
18,0.335
19,1.825
20,3.732
21,7.251
22,0.431
23,5.251
24,4.941
25,5.066
26,0.4
27,0.441
28,0.6
29,1.058
