,6-RS
0,0.761
1,0.714
2,0.462
3,1.748
4,1.494
5,34.93
6,0.568
7,1.15
8,0.536
9,1.584
10,1.292
11,0.517
12,0.817
13,8.483
14,0.809
15,1.122
16,11.462
17,1.044
18,20.036
19,13.294
20,1.75
21,1.334
22,0.968
23,23.573
24,1.045
25,13.912
26,1.072
27,0.938
28,15.405
29,1.546
