,5-TP
0,1.101
1,0.446
2,0.638
3,2.707
4,0.556
5,0.501
6,0.909
7,1.354
8,1.105
9,1.075
10,0.89
11,1.591
12,0.675
13,2.284
14,0.406
15,0.563
16,1.09
17,40.323
18,0.735
19,10.431
20,0.854
21,10.364
22,6.15
23,6.744
24,1.036
25,0.796
26,0.998
27,0.748
28,0.726
29,0.724
