,9-TP
0,0.747
1,6.965
2,0.626
3,6.808
4,0.79
5,0.722
6,0.385
7,420.256
8,6.837
9,423.539
10,9.548
11,1.178
12,0.752
13,0.433
14,6.723
15,0.76
16,406.495
17,1.32
18,0.793
19,0.829
20,0.908
21,414.092
22,407.021
23,0.71
24,10.369
25,6.664
26,382.773
27,451.338
28,13.225
29,8.464
