,2-RS
0,1.226
1,0.365
2,1.76
3,0.441
4,0.337
5,0.353
6,0.35
7,1.527
8,0.586
9,1.402
10,0.534
11,1.93
12,0.36
13,13.689
14,3.387
15,0.483
16,0.64
17,1.423
18,1.148
19,4.071
20,1.065
21,44.224
22,0.682
23,2.528
24,4.071
25,1.77
26,3.215
27,2.777
28,1.949
29,0.343
