,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,0.7920333333333335
1,2,7.495433333333333
2,3,3.2589333333333332
3,4,6.092133333333333
4,5,3.818571428571428
5,6,3.186631578947368
