,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.305,0.393,1.438,7.189,3.563,0.49
1,0.954,1.246,2.418,5.06,3.903,5.665
2,0.307,1.879,1.362,10.205,5.904,4.911
3,0.39,0.433,1.859,1.352,2.201,4.496
4,0.393,0.364,2.707,3.586,3.291,4.951
5,0.279,0.368,0.357,10.5,3.587,1.412
6,0.332,1.067,1.527,1.699,5.061,6.588
7,0.295,0.44,2.792,1.349,3.155,1.935
8,0.309,2.012,1.538,11.223,3.198,1.83
9,0.321,1.938,7.233,9.824,6.061,6.207
10,0.37,1.27,51.846,1.35,3.056,2.948
11,0.283,0.44,0.326,12.278,2.998,1.239
12,0.266,0.388,3.05,1.352,3.138,5.876
13,0.294,1.509,2.109,1.343,4.344,1.013
14,0.3,2.611,1.086,5.221,,2.331
15,0.547,0.555,1.334,15.491,,2.341
16,0.35,2.915,1.352,5.074,,2.954
17,9.061,1.549,0.465,1.493,,1.385
18,0.387,0.536,2.307,10.55,,1.974
19,0.274,1.391,1.232,6.557,,
20,0.408,0.479,0.348,1.32,,
21,0.305,0.502,0.351,5.442,,
22,0.333,194.479,2.639,1.377,,
23,4.422,0.434,0.337,10.97,,
24,0.341,0.623,1.01,2.953,,
25,0.292,0.426,1.141,4.106,,
26,0.414,0.814,0.334,1.528,,
27,0.354,1.801,0.467,10.94,,
28,0.4,1.336,0.339,16.737,,
29,0.475,0.665,2.464,4.695,,
mean,0.7920333333333335,7.495433333333333,3.2589333333333332,6.092133333333333,3.818571428571428,3.186631578947368
