,9-RS
0,0.44
1,0.391
2,6.206
3,0.647
4,5.216
5,5.039
6,0.435
7,5.005
8,0.456
9,4.76
10,0.451
11,4.799
12,2.843
13,2.75
14,3.674
15,0.481
16,13.42
17,5.037
18,5.042
19,0.426
20,7.256
21,5.04
22,5.086
23,5.149
24,5.082
25,0.552
26,0.492
27,5.167
28,5.073
29,4.992
