,5-RS
0,3.188
1,7.444
2,1.251
3,2.359
4,4.866
5,101.335
6,2.713
7,3.299
8,5.036
9,3.68
10,2.186
11,1.408
12,11.301
13,12.453
14,24.512
15,1.403
16,1.535
17,0.307
18,0.311
19,3.437
20,5.092
21,1.55
22,2.129
23,10.529
24,1.329
25,5.403
26,3.553
27,2.808
28,4.351
29,0.326
