,2-TP
0,0.486
1,0.465
2,0.358
3,0.325
4,0.414
5,2.071
6,0.354
7,0.366
8,7.239
9,2.182
10,0.483
11,0.378
12,1.444
13,0.743
14,0.587
15,0.315
16,0.292
17,0.326
18,0.348
19,0.521
20,0.341
21,0.363
22,0.28
23,0.991
24,0.525
25,0.555
26,1.44
27,0.378
28,0.282
29,0.573
