,8-RS
0,8.601
1,1.321
2,1.874
3,17.46
4,1.216
5,30.295
6,7.505
7,7.496
8,4.417
9,1.387
10,1.112
11,1.291
12,1.408
13,1.366
14,0.694
15,45.284
16,5.146
17,3.566
18,4.547
19,0.286
20,4.662
21,1.232
22,0.327
23,1.518
24,7.772
25,1.831
26,6.295
27,9.447
28,1.988
29,16.994
