,4-RS
0,0.852
1,0.399
2,0.734
3,0.897
4,1.036
5,1.953
6,5.031
7,0.549
8,0.652
9,0.504
10,0.506
11,1.636
12,1.843
13,1.474
14,3.122
15,1.425
16,0.416
17,38.872
18,3.607
19,0.509
20,2.148
21,3.14
22,4.189
23,1.161
24,102.565
25,1.519
26,0.66
27,0.375
28,0.549
29,0.351
