,3-RS
0,1.854
1,1.805
2,2.332
3,3.463
4,5.355
5,83.325
6,3.678
7,2.844
8,0.9
9,2.41
10,2.379
11,1.542
12,0.887
13,1.596
14,0.473
15,2.249
16,1.403
17,0.39
18,0.423
19,2.673
20,1.474
21,0.465
22,1.899
23,0.424
24,1.819
25,1.923
26,1.578
27,1.538
28,3.877
29,1.832
