,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.3812333333333334
1,2,3.2878666666666665
2,3,4.627000000000001
3,4,6.089133333333334
4,5,7.703133333333332
5,6,5.478866666666666
6,7,7.758633333333333
7,8,6.6112666666666655
8,9,3.7135666666666673
9,10,1.8988000000000003
