,10-RS
0,1.327
1,0.514
2,9.733
3,2.933
4,1.243
5,1.365
6,1.412
7,1.28
8,0.952
9,1.081
10,0.523
11,2.408
12,2.999
13,2.353
14,1.145
15,0.448
16,3.5
17,0.592
18,1.831
19,0.451
20,0.864
21,0.481
22,3.444
23,1.851
24,5.192
25,0.524
26,1.561
27,1.938
28,1.437
29,1.582
