queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1747,1,1,33,35396331,0,1882,2133,278
2,9.sparql,65,1,1,14,14923159,0,133,3865,29199
3,29.sparql,48,1,1,1,1482665,0,93,158,353
4,25.sparql,48,1,1,0,871628,0,108,2404,164
5,2.sparql,43,1,1,2,3226928,0,67,81,1
6,21.sparql,49,1,1,1,2485671,0,70,81,0
7,28.sparql,67,1,1,9,11042568,0,114,298,675
8,27.sparql,47,0,0,0,0,0,78,85,0
9,4.sparql,46,0,0,0,0,0,86,96,0
10,26.sparql,39,1,1,0,523111,0,73,5927,280
11,17.sparql,38,1,1,29,32041959,0,58,33788,23728
12,23.sparql,44,1,1,19,21016730,0,60,110,1
13,3.sparql,42,1,1,1,2132483,0,59,72,39
14,20.sparql,45,1,1,2,3226928,0,63,72,0
15,0.sparql,48,1,1,1,1482665,0,66,82,168
16,1.sparql,54,1,1,33,35396331,0,73,163,325
17,19.sparql,54,1,1,14,15614005,0,69,3351,31315
18,13.sparql,46,1,1,33,35396331,0,62,168,161
19,16.sparql,54,1,1,0,557021,0,78,98,200
20,5.sparql,54,1,1,14,15614005,0,70,1266,11352
21,7.sparql,50,1,1,14,15614005,0,66,11743,140199
22,15.sparql,45,1,1,14,15718773,0,64,181,782
23,12.sparql,49,1,1,11,12279587,0,67,143,450
24,22.sparql,51,1,1,0,871628,0,69,640,505
25,11.sparql,52,1,1,19,21016730,0,68,115,0
26,8.sparql,55,1,1,0,977254,0,72,80,37
27,18.sparql,58,1,1,11,12279587,0,75,108,59
28,24.sparql,64,1,1,0,871628,0,81,597,421
29,6.sparql,62,1,1,14,15718773,0,80,335,2311
30,10.sparql,59,1,1,14,15570274,0,80,7907,139948
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
28,28,303,343348758,7848,77327
