,3k-RS
0,2156.0
1,1335.0
2,1685.0
3,17914.0
4,101.0
5,108.0
6,262.0
7,582.0
8,507.0
9,846.0
10,96.0
11,183.0
12,110.0
13,121.0
14,882.0
15,948.0
16,486.0
17,35104.0
18,89.0
19,10664.0
20,780.0
21,52781.0
22,245.0
23,736.0
24,15838.0
25,3331.0
26,130.0
27,2849.0
28,285.0
29,112.0
