queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1993,1,1,36,38952351,0,2117,3940,9598
2,9.sparql,76,1,1,13,14811611,0,113,159,33
3,29.sparql,55,1,1,18,19595599,0,87,859,7909
4,25.sparql,63,1,1,0,871628,0,121,359,3444
5,2.sparql,73,1,1,0,871628,0,138,215,877
6,21.sparql,85,1,1,0,871628,0,162,257,368
7,28.sparql,102,1,1,36,38952351,0,165,411,844
8,27.sparql,73,1,1,7,8560812,0,107,136,0
9,4.sparql,54,1,1,7,8560812,0,85,109,11
10,26.sparql,50,1,1,8,9165924,0,76,96,0
11,17.sparql,60,1,1,13,14811611,0,89,140,40
12,23.sparql,78,1,1,8,9165924,0,109,137,0
13,3.sparql,92,1,1,13,14811611,0,126,185,29
14,20.sparql,102,1,1,13,14811611,0,137,188,31
15,0.sparql,78,1,1,13,14811611,0,110,165,40
16,1.sparql,98,1,1,8,9165924,0,133,158,1
17,19.sparql,72,1,1,7,8560812,0,98,120,0
18,13.sparql,80,1,1,7,8560812,0,98,122,19
19,16.sparql,91,1,1,36,38952351,0,121,299,359
20,5.sparql,89,1,1,36,38952351,0,121,839,5114
21,7.sparql,111,1,1,7,7458139,0,154,8243,117092
22,15.sparql,99,1,1,13,14811611,0,128,210,35
23,12.sparql,125,1,1,8,9165924,0,151,179,1
24,22.sparql,149,1,1,7,8560812,0,171,200,1
25,11.sparql,159,1,1,7,8560812,0,184,228,0
26,8.sparql,192,1,1,13,14811611,0,225,314,37
27,18.sparql,204,1,1,0,871628,0,253,316,381
28,24.sparql,161,1,1,13,14811611,0,186,250,29
29,6.sparql,117,1,1,36,38952351,0,136,671,4356
30,10.sparql,89,1,1,13,14811611,0,108,146,26
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,396,446635072,57,20886
