,4-JV
0,3321.0
1,3042.0
2,4666.0
3,4569.0
4,3795.0
5,2503.0
6,2863.0
7,3669.0
8,3452.0
9,3390.0
10,2507.0
11,2676.0
12,3363.0
13,2377.0
14,2584.0
15,1510.0
16,1558.0
17,2365.0
18,506.0
19,693.0
20,366.0
21,817.0
22,413.0
23,390.0
24,773.0
25,706.0
26,725.0
27,486.0
28,439.0
29,440.0
