queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1784,1,1,36,38952351,0,2106,2974,2885
2,9.sparql,59,1,1,36,38952351,0,115,1445,9444
3,29.sparql,103,1,1,36,38952351,0,163,1540,8782
4,25.sparql,110,1,1,29,32041959,0,173,11068,230730
5,2.sparql,77,1,1,9,11042568,0,173,367,675
6,21.sparql,123,1,1,9,11042568,0,223,913,5329
7,28.sparql,90,1,1,29,32041959,0,161,12987,228378
8,27.sparql,65,1,1,9,11042568,0,148,723,4892
9,4.sparql,69,1,1,36,38952351,0,109,1176,9598
10,26.sparql,79,1,1,36,38952351,0,123,1145,6926
11,17.sparql,86,1,1,9,11042568,0,167,805,5278
12,23.sparql,93,1,1,36,38952351,0,128,431,2215
13,3.sparql,91,1,1,9,11042568,0,159,2022,18372
14,20.sparql,110,1,1,36,38952351,0,147,1095,8916
15,0.sparql,98,1,1,36,38952351,0,128,757,5114
16,1.sparql,116,1,1,36,38952351,0,154,604,4356
17,19.sparql,79,1,1,29,32041959,0,111,13046,229022
18,13.sparql,72,1,1,36,38952351,0,94,271,1547
19,16.sparql,78,1,1,36,38952351,0,97,215,600
20,5.sparql,74,1,1,36,38952351,0,93,216,844
21,7.sparql,77,1,1,36,38952351,0,96,625,7008
22,15.sparql,82,1,1,36,38952351,0,102,691,7765
23,12.sparql,95,1,1,9,11042568,0,131,293,1883
24,22.sparql,97,1,1,36,38952351,0,114,550,5589
25,11.sparql,87,1,1,9,11042568,0,122,254,1642
26,8.sparql,93,1,1,36,38952351,0,113,239,860
27,18.sparql,100,1,1,29,32041959,0,128,13744,346699
28,24.sparql,104,1,1,36,38952351,0,124,678,7218
29,6.sparql,103,1,1,36,38952351,0,122,343,2220
30,10.sparql,110,1,1,36,38952351,0,128,753,8804
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,863,945560481,643,73107
