,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,0.9527333333333333
1,2,1.7722666666666667
2,3,1.9387333333333334
3,4,2.0321333333333333
4,5,2.2445714285714287
5,6,1.319842105263158
