queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1826,2,2,7,9479409,0,2137,3587,103
2,9.sparql,129,2,2,33,36756590,0,374,1692,4080
3,29.sparql,42,1,1,0,523111,0,94,5950,280
4,25.sparql,46,0,0,0,0,0,79,87,0
5,2.sparql,38,2,2,7,9479409,0,108,969,107
6,21.sparql,32,1,1,20,21461779,0,61,322,0
7,28.sparql,45,2,2,5,7095712,0,135,1751,407
8,27.sparql,40,2,2,33,36756590,0,161,969,4126
9,4.sparql,32,0,0,0,0,0,51,55,0
10,26.sparql,38,2,2,22,25086526,0,85,195,250
11,17.sparql,41,2,2,7,9479409,0,110,977,113
12,23.sparql,58,2,2,14,15295070,0,128,209,22
13,3.sparql,62,2,2,14,15295070,0,136,197,16
14,20.sparql,52,1,1,20,21461779,0,91,344,13
15,0.sparql,46,2,2,14,15295070,0,94,135,22
16,1.sparql,45,2,2,29,32116185,0,101,1369,191
17,19.sparql,44,2,2,28,29946065,0,97,8852,1667
18,13.sparql,43,1,1,14,15614005,0,74,8513,90505
19,16.sparql,50,2,2,19,21013800,0,93,352,374
20,5.sparql,44,1,1,20,21461779,0,72,208,1
21,7.sparql,49,2,2,31,33459151,0,80,149,1
22,15.sparql,55,2,2,22,25086526,0,102,179,146
23,12.sparql,53,2,2,31,33459151,0,83,145,5
24,22.sparql,58,1,1,0,1385311,0,127,11859,480
25,11.sparql,64,1,1,20,21461779,0,94,313,0
26,8.sparql,58,2,2,33,36756590,0,138,806,4141
27,18.sparql,50,2,2,14,15295070,0,90,143,90
28,24.sparql,60,1,1,14,15614005,0,88,1040,10031
29,6.sparql,56,2,2,3,3909359,0,111,413,105
30,10.sparql,57,1,1,14,15570274,0,77,7488,139948
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
47,47,488,545614574,7431,60492
