,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,2.139,1.587,12.742,3.321,5.142,2.328
1,0.17,1.692,11.358,3.042,1.749,1.336
2,0.436,5.95,2.106,4.666,2.627,1.284
3,0.161,0.087,0.083,4.569,1.669,1.293
4,0.142,0.969,0.101,3.795,2.343,1.325
5,0.098,0.122,0.196,2.503,2.078,1.286
6,0.214,0.751,0.152,2.863,3.15,2.254
7,0.125,0.069,0.087,3.669,2.536,1.251
8,0.21,0.055,2.189,3.452,1.805,1.242
9,0.186,0.195,0.097,3.39,1.936,1.2
10,14.269,0.977,0.153,2.507,1.391,0.206
11,3.804,0.109,0.191,2.676,1.583,0.221
12,0.236,0.197,0.096,3.363,1.961,0.224
13,0.299,0.044,0.094,2.377,1.454,2.216
14,0.301,0.135,0.137,2.584,,0.214
15,0.828,1.369,0.228,1.51,,1.226
16,0.25,8.852,0.141,1.558,,4.56
17,0.141,8.513,0.129,2.365,,1.201
18,0.605,0.352,0.228,0.506,,0.21
19,0.127,0.208,0.207,0.693,,
20,0.108,0.149,6.672,0.366,,
21,0.438,0.179,0.125,0.817,,
22,1.848,0.145,6.625,0.413,,
23,0.127,11.859,1.747,0.39,,
24,0.138,0.313,0.13,0.773,,
25,0.164,0.206,0.116,0.706,,
26,0.525,0.143,0.128,0.725,,
27,0.152,0.04,0.13,0.486,,
28,0.168,0.413,0.118,0.439,,
29,0.173,7.488,11.656,0.44,,
mean,0.9527333333333333,1.7722666666666667,1.9387333333333334,2.0321333333333333,2.2445714285714287,1.319842105263158
