queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1862,1,1,3,3834091,0,2057,2742,1982
2,9.sparql,111,1,1,0,518318,0,190,585,3409
3,29.sparql,65,1,1,33,35396331,0,120,259,138
4,25.sparql,45,1,1,14,15614005,0,148,1859,10031
5,2.sparql,53,1,1,9,10717389,0,111,155,2
6,21.sparql,41,0,0,0,0,0,122,144,0
7,28.sparql,56,2,2,31,33459151,0,134,242,3
8,27.sparql,57,1,1,10,10614563,0,125,6204,41889
9,4.sparql,38,1,1,3,4347692,0,86,530,149
10,26.sparql,51,1,1,1,1525703,0,101,108,0
11,17.sparql,65,1,1,3,3834091,0,100,148,318
12,23.sparql,70,2,2,31,33459151,0,124,218,3
13,3.sparql,67,1,1,3,3834091,0,109,130,77
14,20.sparql,62,1,1,3,4347692,0,102,220,39
15,0.sparql,63,1,1,9,10717389,0,100,127,0
16,1.sparql,64,1,1,3,3834091,0,104,121,95
17,19.sparql,56,1,1,1,1525703,0,101,108,0
18,13.sparql,51,1,1,9,10717389,0,83,110,1
19,16.sparql,52,1,1,3,4347692,0,80,286,113
20,5.sparql,51,1,1,3,3834091,0,80,443,3776
21,7.sparql,50,1,1,33,35396331,0,77,180,237
22,15.sparql,56,1,1,33,35396331,0,85,174,299
23,12.sparql,53,2,2,31,33459151,0,91,162,5
24,22.sparql,64,1,1,20,21461779,0,103,357,0
25,11.sparql,60,1,1,14,15614005,0,111,8062,90505
26,8.sparql,58,2,2,31,33459151,0,97,163,1
27,18.sparql,62,1,1,10,11055162,1,90,114,0
28,24.sparql,60,1,1,33,35396331,0,91,195,253
29,6.sparql,61,1,1,20,21461779,0,104,412,0
30,10.sparql,65,1,1,20,21461779,0,100,250,1
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
33,33,417,460640422,186,25983
