queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1767,2,2,9,11811345,0,2178,27104,139
2,9.sparql,67,3,3,36,39482177,0,225,909,0
3,29.sparql,66,2,2,9,11811345,0,234,22245,174
4,25.sparql,62,2,2,32,34853326,0,206,324,0
5,2.sparql,56,3,3,36,39482177,0,199,521,0
6,21.sparql,49,2,2,32,34853326,0,196,340,0
7,28.sparql,103,3,3,36,39482177,0,477,911,0
8,27.sparql,57,3,3,36,39482177,0,220,467,0
9,4.sparql,59,3,3,36,39482177,0,202,384,0
10,26.sparql,66,3,3,36,39482177,0,220,860,0
11,17.sparql,110,2,2,32,34853326,0,346,511,0
12,23.sparql,139,1,1,0,1385311,0,237,7701,254
13,3.sparql,73,3,3,36,39482177,0,316,984,0
14,20.sparql,79,3,3,36,39482177,0,289,926,0
15,0.sparql,140,3,3,36,39482177,0,410,1020,0
16,1.sparql,145,1,1,0,1385311,0,215,12644,480
17,19.sparql,182,2,2,32,34853326,0,323,429,0
18,13.sparql,84,3,3,36,39482177,0,224,339,0
19,16.sparql,97,3,3,36,39482177,0,242,635,0
20,5.sparql,98,2,2,9,11811345,0,165,62860,608
21,7.sparql,91,1,1,0,1385311,0,146,5135,239
22,15.sparql,94,2,2,32,34853326,0,232,336,0
23,12.sparql,93,1,1,0,1385311,0,147,8069,203
24,22.sparql,102,3,3,36,39482177,0,273,549,0
25,11.sparql,158,1,1,0,1385311,0,220,18814,1012
26,8.sparql,114,2,2,32,34853326,0,332,457,0
27,18.sparql,167,3,3,36,39482177,0,330,757,0
28,24.sparql,137,1,1,0,1385311,0,209,21641,894
29,6.sparql,121,2,2,9,11811345,0,186,30660,338
30,10.sparql,117,2,2,9,11811345,0,185,20307,212
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
67,67,705,789756848,20190,250048
