,6-JV
0,2328.0
1,1336.0
2,1284.0
3,1293.0
4,1325.0
5,1286.0
6,2254.0
7,1251.0
8,1242.0
9,1200.0
10,206.0
11,221.0
12,224.0
13,2216.0
14,214.0
15,1226.0
16,4560.0
17,1201.0
18,210.0
