,4-TP
0,2742.0
1,585.0
2,259.0
3,1859.0
4,155.0
5,144.0
6,242.0
7,6204.0
8,530.0
9,108.0
10,148.0
11,218.0
12,130.0
13,220.0
14,127.0
15,121.0
16,108.0
17,110.0
18,286.0
19,443.0
20,180.0
21,174.0
22,162.0
23,357.0
24,8062.0
25,163.0
26,114.0
27,195.0
28,412.0
29,250.0
