queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1785,1,1,14,15614005,0,2016,4426,9537
2,9.sparql,48,1,1,14,15614005,0,144,1757,9187
3,29.sparql,53,1,1,14,15614005,0,136,1656,12707
4,25.sparql,44,1,1,14,15718773,0,158,381,1594
5,2.sparql,39,1,1,14,15614005,0,104,11366,140199
6,21.sparql,46,1,1,14,15718773,0,107,270,1279
7,28.sparql,36,1,1,14,15718773,0,91,1252,11532
8,27.sparql,37,1,1,14,15614005,0,90,1592,16102
9,4.sparql,29,1,1,14,15614005,0,76,1047,10505
10,26.sparql,44,1,1,14,15614005,0,105,1654,11019
11,17.sparql,54,1,1,14,15718773,0,145,666,2228
12,23.sparql,81,1,1,18,19595599,0,119,1801,24164
13,3.sparql,45,1,1,14,15614005,0,104,3387,31315
14,20.sparql,38,1,1,18,19595599,0,72,468,6544
15,0.sparql,49,1,1,14,15614005,0,110,2141,11352
16,1.sparql,89,1,1,14,15718773,0,164,938,2311
17,19.sparql,91,1,1,18,19595599,0,152,409,1330
18,13.sparql,92,1,1,14,15614005,0,157,3844,27190
19,16.sparql,40,1,1,14,15614005,0,87,3691,42314
20,5.sparql,42,1,1,14,15614005,0,79,1219,13503
21,7.sparql,42,1,1,14,15614005,0,77,1113,12113
22,15.sparql,46,1,1,14,15718773,0,84,227,1138
23,12.sparql,46,1,1,14,15614005,0,80,2946,35835
24,22.sparql,47,1,1,18,19595599,0,73,2661,56596
25,11.sparql,45,1,1,14,15614005,0,80,1953,22563
26,8.sparql,47,1,1,18,19595599,0,66,472,7909
27,18.sparql,52,1,1,14,15614005,0,87,1834,18943
28,24.sparql,84,1,1,14,15614005,0,135,6388,65615
29,6.sparql,48,1,1,14,15614005,0,80,1557,14364
30,10.sparql,59,1,1,14,15718773,0,93,253,1321
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
30,30,440,489061496,194,65218
