,2-PV
0,3940.0
1,159.0
2,859.0
3,359.0
4,215.0
5,257.0
6,411.0
7,136.0
8,109.0
9,96.0
10,140.0
11,137.0
12,185.0
13,188.0
14,165.0
15,158.0
16,120.0
17,122.0
18,299.0
19,839.0
20,8243.0
21,210.0
22,179.0
23,200.0
24,228.0
25,314.0
26,316.0
27,250.0
28,671.0
29,146.0
