,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,1.875,3.94,2.133,2.253,21.895,2.398,3.748,3.083,4.935,2.844
1,0.065,0.159,3.865,0.853,0.829,0.177,0.345,13.852,7.278,1.513
2,0.071,0.859,0.158,0.172,0.193,0.487,0.413,1.071,1.099,1.018
3,0.047,0.359,2.404,0.281,21.368,0.831,3.406,0.993,3.686,0.628
4,0.043,0.215,0.081,0.155,0.115,0.179,0.262,1.035,1.482,0.558
5,0.043,0.257,0.081,2.357,9.089,0.171,0.197,0.729,9.649,0.371
6,0.043,0.411,0.298,0.573,0.144,0.163,0.214,0.987,1.034,11.286
7,0.069,0.136,0.085,5.545,0.216,0.159,0.198,1.269,4.143,8.998
8,0.06,0.109,0.096,0.285,0.123,0.138,0.198,0.926,0.164,35.876
9,0.06,0.096,5.927,0.152,0.226,0.165,0.203,0.988,1.162,0.571
10,0.059,0.14,33.788,0.18,0.137,0.118,0.18,0.993,0.237,0.715
11,0.047,0.137,0.11,0.101,0.155,0.71,0.171,0.83,0.229,1.102
12,0.044,0.185,0.072,0.28,0.195,0.107,0.15,0.804,0.195,0.793
13,0.054,0.188,0.072,0.1,0.121,0.15,0.232,0.155,7.006,0.32
14,0.051,0.165,0.082,0.463,0.205,0.115,0.151,0.697,0.177,0.574
15,0.054,0.158,0.163,0.367,1.914,0.376,0.173,0.4,0.2,12.649
16,0.046,0.12,3.351,9.093,0.302,0.13,0.156,0.168,0.19,0.829
17,0.047,0.122,0.168,0.325,0.506,0.122,13.712,0.414,0.191,0.35
18,0.053,0.299,0.098,0.161,0.139,0.182,11.242,0.6,0.234,0.627
19,0.054,0.839,1.266,0.114,0.131,17.31,0.118,0.62,0.21,0.331
20,0.041,8.243,11.743,0.253,0.149,4.64,0.093,0.797,8.504,58.797
21,0.045,0.21,0.181,0.171,0.236,0.877,0.097,0.406,13.152,17.383
22,0.046,0.179,0.143,0.107,0.192,8.366,3.859,1.589,0.292,7.3
23,0.048,0.2,0.64,0.172,0.134,0.13,0.097,0.687,0.315,0.48
24,0.048,0.228,0.115,0.112,11.588,0.324,0.144,0.37,0.379,17.064
25,0.042,0.314,0.08,0.185,0.267,0.141,0.104,14.423,1.379,4.812
26,0.044,0.316,0.108,0.114,0.211,0.335,0.155,0.754,0.284,0.376
27,0.049,0.25,0.597,0.355,0.499,0.144,0.134,0.861,1.473,21.816
28,0.042,0.671,0.335,0.115,0.177,0.247,0.112,2.051,1.282,0.458
29,0.041,0.146,7.907,,0.217,0.15,0.125,0.444,1.291,19.988
mean,0.11103333333333333,0.6550333333333334,2.5382333333333333,0.8756551724137931,2.3891,1.3180666666666665,1.3463,1.7665333333333333,2.3950666666666667,7.680899999999999
