queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1835,2,2,3,3909359,0,2162,3083,81
2,9.sparql,90,3,3,40,44147085,0,386,13852,204
3,29.sparql,58,2,2,33,36756590,0,228,1071,4194
4,25.sparql,39,2,2,33,36756590,0,209,993,4173
5,2.sparql,38,2,2,33,36756590,0,269,1035,4141
6,21.sparql,32,2,2,7,9479409,0,142,729,108
7,28.sparql,49,2,2,33,36756590,0,165,987,4183
8,27.sparql,44,2,2,33,36756590,0,232,1269,4222
9,4.sparql,44,2,2,7,9479409,0,136,926,103
10,26.sparql,90,2,2,7,9479409,0,267,988,94
11,17.sparql,45,2,2,33,36756590,0,172,993,4009
12,23.sparql,44,2,2,33,36756590,0,171,830,4123
13,3.sparql,38,2,2,33,36756590,0,147,804,4080
14,20.sparql,41,0,0,0,0,0,150,155,0
15,0.sparql,42,2,2,7,9479409,0,121,697,107
16,1.sparql,43,2,2,3,3909359,0,112,400,105
17,19.sparql,40,0,0,0,0,0,162,168,0
18,13.sparql,47,2,2,3,3909359,0,115,414,96
19,16.sparql,43,2,2,7,9479409,0,119,600,118
20,5.sparql,45,2,2,7,9479409,0,131,620,113
21,7.sparql,47,2,2,33,36756590,0,160,797,4126
22,15.sparql,45,2,2,3,3909359,0,111,406,112
23,12.sparql,48,1,1,0,241923,0,133,1589,617
24,22.sparql,55,2,2,7,9479409,0,133,687,119
25,11.sparql,53,2,2,3,3909359,0,112,370,99
26,8.sparql,63,1,1,5,6620131,0,213,14423,56210
27,18.sparql,55,2,2,7,9479409,0,133,754,121
28,24.sparql,77,2,2,7,9479409,0,215,861,107
29,6.sparql,54,1,1,5,6620131,0,161,2051,8247
30,10.sparql,63,2,2,3,3909359,0,130,444,97
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
54,54,428,497209415,381,54205
