,4-PV
0,2253.0
1,853.0
2,172.0
3,281.0
4,155.0
5,2357.0
6,573.0
7,5545.0
8,285.0
9,152.0
10,180.0
11,101.0
12,280.0
13,100.0
14,463.0
15,367.0
16,9093.0
17,325.0
18,161.0
19,114.0
20,253.0
21,171.0
22,107.0
23,172.0
24,112.0
25,185.0
26,114.0
27,355.0
28,115.0
