queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
1,14.sparql,1839,1,1,29,32041959,0,2033,37394,32000
2,9.sparql,67,1,1,0,871628,0,82,577,421
3,29.sparql,44,1,1,0,871628,0,54,70,368
4,25.sparql,38,1,1,1,2480321,0,77,9874,7816
5,2.sparql,33,1,1,3,3834091,0,63,324,1982
6,21.sparql,40,1,1,29,32041959,0,58,30207,24275
7,28.sparql,39,1,1,3,4347692,0,116,983,775
8,27.sparql,31,1,1,3,3834091,0,50,102,215
9,4.sparql,53,1,1,0,518318,0,124,363,3409
10,26.sparql,39,1,1,1,1525703,0,69,78,0
11,17.sparql,41,1,1,0,1385311,0,78,4262,1046
12,23.sparql,97,1,1,1,2480321,0,172,189,0
13,3.sparql,91,1,1,1,2480321,0,156,173,0
14,20.sparql,91,1,1,0,460794,0,193,555,438
15,0.sparql,63,1,1,3,3834091,0,84,453,3776
16,1.sparql,41,1,1,3,3834091,0,65,98,318
17,19.sparql,46,1,1,36,38952351,0,58,145,359
18,13.sparql,53,1,1,6,7088290,0,130,7362,7427
19,16.sparql,51,1,1,14,15718773,0,67,130,306
20,5.sparql,65,1,1,5,6620131,0,168,2139,8247
21,7.sparql,48,1,1,0,871628,0,67,632,505
22,15.sparql,72,1,1,28,30136459,0,92,151,0
23,12.sparql,62,1,1,14,14923159,0,79,2637,29618
24,22.sparql,57,1,1,0,523111,0,138,61154,4667
25,11.sparql,56,1,1,1,2480321,0,96,106,0
26,8.sparql,115,1,1,1,1525703,0,157,162,0
27,18.sparql,108,2,2,11,13117049,0,188,2454,22005
28,24.sparql,64,1,1,0,1385311,0,108,7822,1667
29,6.sparql,63,1,1,65,69616758,0,101,17385,94099
30,10.sparql,62,1,1,1,1482665,0,81,116,353
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
31,31,259,301284028,54,189307
