,9k-RS
0,6952.0
1,4057.0
2,2263.0
3,227.0
4,6377.0
5,2086.0
6,2027.0
7,2037.0
8,2041.0
9,125.0
10,2065.0
11,2015.0
12,226.0
13,2928.0
14,129.0
15,268.0
16,327.0
17,2419.0
18,11188.0
19,2073.0
20,2057.0
21,138.0
22,1102.0
23,2056.0
24,2055.0
25,225.0
26,2039.0
27,2094.0
28,155.0
29,163.0
