,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.27046666666666663
1,2,1.8379333333333334
2,3,5.0422
3,4,6.2699
4,5,5.828966666666666
5,6,2.399
6,7,3.574766666666667
7,8,2.6254666666666666
8,9,2.1304666666666665
9,10,2.1123000000000003
