,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,1.864,2.029,2.041,2.742,2.06,3.162,12.845,3.052,5.554,27.104
1,0.051,1.163,0.226,0.585,0.231,0.229,0.123,1.208,5.27,0.909
2,0.06,0.298,0.191,0.259,0.929,0.523,0.095,1.507,1.329,22.245
3,0.06,0.109,2.572,1.859,0.174,0.259,0.08,1.255,1.269,0.324
4,0.043,0.129,0.689,0.155,0.202,0.162,0.288,0.556,0.221,0.521
5,0.046,0.109,0.096,0.144,0.857,0.195,0.105,0.728,8.395,0.34
6,0.053,0.115,28.359,0.242,0.13,0.148,0.12,0.821,0.871,0.911
7,0.053,0.131,0.147,6.204,0.117,0.872,0.133,0.164,3.99,0.467
8,0.057,0.109,1.228,0.53,0.175,0.112,0.132,0.81,0.173,0.384
9,0.054,1.097,3.708,0.108,0.236,0.109,0.173,0.921,3.255,0.86
10,0.056,0.146,0.497,0.148,15.975,0.162,0.146,0.795,0.179,0.511
11,0.056,0.113,0.06,0.218,6.553,0.195,0.17,0.75,0.186,7.701
12,0.053,0.108,0.067,0.13,1.481,0.17,0.094,0.72,0.924,0.984
13,0.053,0.105,0.64,0.22,0.374,0.184,0.129,0.148,0.174,0.926
14,0.049,0.138,0.145,0.127,0.108,0.144,0.105,0.599,0.181,1.02
15,0.052,0.135,0.138,0.121,0.097,0.133,0.099,0.751,1.032,12.644
16,0.044,0.15,0.129,0.108,0.461,0.139,0.123,0.609,0.207,0.429
17,0.046,0.124,0.072,0.11,8.672,0.117,0.187,0.321,0.191,0.339
18,0.043,0.121,0.148,0.286,0.109,0.14,0.104,0.57,8.812,0.635
19,0.052,0.684,0.144,0.443,0.1,0.446,0.103,0.333,0.212,62.86
20,0.051,0.147,11.963,0.18,0.212,4.469,0.102,13.739,7.268,5.135
21,0.058,0.122,7.631,0.174,0.148,0.119,9.317,1.898,0.197,0.336
22,0.055,0.98,0.082,0.162,0.156,0.114,0.131,0.462,0.209,8.069
23,0.055,0.106,2.676,0.357,16.227,0.103,0.135,0.762,4.879,0.549
24,0.052,0.125,0.175,8.062,0.19,6.123,0.131,0.861,0.203,18.814
25,0.043,6.14,0.094,0.163,0.148,0.38,0.105,0.366,0.982,0.457
26,0.042,0.107,0.08,0.114,0.124,0.274,0.124,0.152,0.22,0.757
27,0.042,0.107,0.115,0.195,0.11,0.31,0.115,0.569,1.033,21.641
28,0.05,0.124,2.381,0.412,0.11,9.743,0.112,2.023,0.217,30.66
29,0.055,0.209,0.11,0.25,0.158,0.105,3.778,11.562,0.898,20.307
mean,0.11159999999999999,0.5093333333333333,2.220133333333333,0.8269333333333333,1.8874666666666666,0.9780333333333333,0.9801333333333333,1.6337333333333333,1.9510333333333334,8.294633333333334
