,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.246,1.136,4.131,7.39,2.96,4.844
1,2.495,1.4,0.155,2.029,3.051,10.688
2,0.179,2.306,0.151,8.715,1.906,6.934
3,1.225,1.106,5.6,2.781,2.918,8.083
4,0.848,0.119,21.77,6.133,2.707,4.126
5,0.177,0.347,0.16,5.047,2.672,5.131
6,0.161,1.724,1.105,6.423,2.597,1.498
7,0.141,0.166,0.164,11.936,2.704,4.023
8,0.179,4.556,2.462,2.134,2.82,2.708
9,0.254,4.403,0.169,7.894,2.682,5.2
10,0.184,3.184,3.399,8.427,2.813,8.048
11,0.192,0.395,3.771,2.073,2.82,14.398
12,6.678,0.153,0.165,4.436,2.869,10.186
13,0.122,0.129,1.039,1.828,3.273,5.832
14,0.161,2.659,2.014,17.385,,3.518
15,1.265,0.493,21.048,8.96,,4.78
16,0.346,4.488,0.159,2.397,,6.675
17,55.024,2.298,3.149,16.111,,7.114
18,0.355,1.094,4.448,1.837,,6.221
19,0.143,2.169,2.88,1.732,,
20,1.35,0.624,0.16,12.214,,
21,0.428,0.434,0.169,10.589,,
22,0.216,100.748,7.107,8.585,,
23,2.921,1.035,0.162,9.286,,
24,0.145,0.15,3.359,8.454,,
25,0.132,0.135,5.64,4.088,,
26,0.465,0.737,0.145,6.899,,
27,0.213,4.673,2.825,2.035,,
28,0.664,3.364,0.147,13.891,,
29,0.493,0.334,6.384,8.425,,
mean,2.5800666666666663,4.8853,3.4678999999999998,7.0044666666666675,2.770857142857143,6.3161578947368415
