,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.142,0.234,1.041,2.371,1.151,0.566,0.189,2.349,0.187,7.437
1,0.121,0.145,0.78,0.101,1.759,0.666,0.158,1.763,0.164,99.488
2,0.121,0.549,0.143,0.189,0.16,0.207,4.395,5.647,3.362,1.967
3,0.134,0.233,0.23,0.339,1.07,0.523,0.173,5.349,0.165,9.284
4,0.122,0.123,0.129,0.426,0.178,0.554,0.176,2.742,0.14,4.9
5,0.127,1.379,8.078,0.174,1.443,4.899,0.462,2.271,0.149,2.587
6,0.118,1.123,1.554,0.402,0.166,4.93,0.155,20.593,3.725,5.877
7,0.125,23.337,75.273,0.139,6.842,4.985,0.136,5.674,97.832,5.739
8,0.119,0.214,0.464,0.256,0.506,0.423,0.186,0.155,4.166,92.38
9,0.113,0.256,3.946,0.423,4.838,0.215,0.471,3.031,93.706,5.075
10,0.126,0.234,4.169,0.148,1.1,0.519,0.302,1.849,4.333,4.55
11,0.122,0.121,0.135,0.14,3.228,1.04,3.264,1.76,0.188,104.959
12,0.128,0.121,0.627,0.867,1.566,6.725,90.522,2.685,0.189,92.844
13,0.106,0.133,0.404,0.139,0.774,0.381,95.737,1.802,0.16,6.789
14,0.121,1.995,0.565,0.468,57.43,10.825,8.419,1.799,3.961,12.76
15,0.11,0.237,0.756,1.341,0.168,7.532,0.158,1.793,99.259,4.362
16,0.126,0.257,1.987,7.427,1.401,0.532,97.927,2.651,0.185,2.17
17,0.122,0.228,2.491,0.975,2.003,0.446,0.297,5.488,0.55,8.311
18,0.117,0.285,0.169,0.76,1.088,0.903,2.811,2.405,0.156,9.154
19,0.12,0.134,18.848,0.426,0.988,0.436,0.162,0.158,0.177,1.912
20,0.109,0.211,0.141,1.208,0.167,0.308,0.151,0.154,92.785,4.554
21,0.118,0.291,0.164,0.131,0.146,0.768,0.613,2.92,94.664,1.789
22,0.116,0.13,0.319,0.154,1.321,0.605,0.21,2.163,0.168,19.25
23,0.114,0.122,0.14,2.563,4.995,1.597,0.809,5.177,0.145,9.428
24,0.118,0.184,0.349,0.14,5.788,0.41,0.693,2.604,3.878,112.917
25,0.11,1.272,0.447,0.176,399.585,1.232,3.017,5.405,90.039,2.159
26,0.118,0.142,0.352,0.141,0.435,0.478,0.157,3.146,4.037,17.648
27,0.118,0.118,40.953,44.352,0.148,0.46,0.64,5.376,90.936,92.915
28,0.119,0.344,0.658,0.514,0.145,0.556,0.68,5.203,5.448,4.197
29,0.115,2.293,1.62,0.156,163.353,0.725,8.947,5.059,3.961,1.79
mean,0.11983333333333332,1.2148333333333334,5.5644,2.2348666666666666,22.1314,1.8148666666666662,10.733899999999998,3.639033333333333,23.293833333333335,24.973066666666668
