,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.215,0.535,0.407,0.175,7.065,0.608,0.173,2.829,0.187,7.674
1,0.117,0.234,0.824,0.184,0.157,0.566,0.158,5.315,3.48,104.478
2,0.121,0.224,1.613,0.164,1.17,0.568,4.589,1.809,0.187,2.013
3,0.113,0.128,0.138,0.286,1.777,1.562,0.156,5.737,3.872,9.528
4,0.116,0.132,8.375,0.426,0.168,0.189,0.47,2.353,0.177,6.062
5,0.109,1.207,0.567,2.419,0.188,0.755,0.169,1.766,0.162,5.874
6,0.124,0.226,3.944,0.421,1.523,5.352,0.16,21.54,0.181,5.01
7,0.109,0.246,77.381,0.95,0.611,5.089,0.163,0.163,100.216,98.638
8,0.115,23.883,0.245,0.173,1.134,1.039,0.144,1.929,4.26,2.722
9,0.126,1.217,0.143,7.478,1.531,0.551,0.539,2.382,96.862,5.199
10,0.117,0.244,2.039,0.377,1.224,0.198,96.842,3.15,4.347,4.582
11,0.125,0.237,0.75,0.128,1.03,7.116,0.324,5.781,0.155,111.539
12,0.127,1.984,1.019,0.147,0.19,0.386,3.379,1.798,0.157,98.928
13,0.125,0.128,0.12,0.163,3.096,0.433,4.861,1.765,0.16,6.883
14,0.113,0.126,0.455,1.341,0.184,7.64,101.306,1.748,4.016,4.482
15,0.115,0.207,4.449,0.934,1.274,0.523,98.904,2.841,0.155,12.827
16,0.122,0.13,0.671,0.402,1.536,0.503,0.169,2.505,103.204,8.616
17,0.113,0.192,0.358,0.461,59.902,3.919,8.419,5.573,0.537,9.196
18,0.117,0.133,0.148,0.146,5.495,0.996,0.32,0.153,0.157,2.116
19,0.124,0.223,0.124,1.261,6.286,0.413,0.615,2.417,0.158,4.844
20,0.116,0.313,0.318,0.186,0.738,16.663,0.126,0.162,0.16,2.043
21,0.121,0.35,0.16,0.156,5.035,0.313,0.183,2.643,97.106,1.827
22,0.112,0.125,19.771,0.423,413.502,0.769,2.702,2.276,96.152,19.266
23,0.112,0.113,41.574,0.136,0.191,10.77,10.956,5.322,0.167,98.207
24,0.116,0.138,1.739,0.71,2.052,1.278,0.152,3.193,3.89,119.345
25,0.131,0.13,0.461,0.135,1.41,0.488,0.695,5.112,4.123,18.104
26,0.109,1.603,0.383,2.563,0.413,0.416,2.427,2.981,94.054,9.887
27,0.117,0.199,0.647,45.87,0.153,1.636,0.714,15.541,94.731,2.34
28,0.112,0.121,2.537,0.181,0.138,0.623,0.619,5.848,5.573,1.807
29,0.113,0.311,0.178,0.813,0.618,0.721,0.712,5.202,4.137,4.252
mean,0.12073333333333335,1.1679666666666664,5.717933333333335,2.3069666666666664,17.326366666666672,2.402766666666667,11.371533333333332,4.061133333333332,24.090766666666664,26.276300000000003
