,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,0.314,0.467,0.498,0.408,0.605,0.387,0.824,0.414,0.296,0.458
1,0.313,0.295,0.524,0.341,0.368,0.365,0.306,0.469,0.302,0.35
2,0.343,0.573,0.32,0.472,0.493,0.319,1.696,0.614,1.031,1.378
3,0.312,0.358,0.291,0.687,0.682,0.472,0.364,1.198,0.332,0.59
4,0.333,0.347,1.028,0.401,0.334,0.431,,0.719,0.909,0.446
5,0.408,0.34,17.572,0.546,0.289,0.326,0.376,0.278,0.925,0.532
6,0.346,0.334,0.523,1.483,0.354,0.338,0.775,0.819,0.315,0.545
7,0.375,0.685,0.661,0.372,0.33,0.415,0.769,0.79,0.921,0.486
8,0.286,0.355,0.347,0.327,0.462,0.299,0.882,0.286,0.311,0.378
9,0.379,0.581,1.419,0.374,0.305,0.392,0.559,0.771,0.864,0.469
10,0.324,0.363,0.515,0.491,0.586,0.439,0.334,0.982,0.312,0.325
11,0.297,0.723,0.707,0.523,0.348,0.391,0.299,0.728,1.01,0.554
12,0.359,0.317,0.843,0.61,0.507,0.343,0.291,1.549,0.705,0.654
13,0.337,0.409,1.785,0.475,0.713,0.328,0.711,0.491,0.693,0.549
14,0.395,1.677,0.571,0.67,0.381,0.345,0.845,0.329,0.823,0.47
15,0.305,0.357,1.798,0.514,0.319,0.403,0.851,0.386,0.332,0.317
16,0.306,0.356,0.413,0.309,0.346,0.305,0.749,1.237,2.772,0.685
17,0.287,0.635,0.661,0.414,0.35,0.314,0.547,0.315,1.178,0.327
18,0.381,0.466,0.407,0.705,0.318,2.529,0.454,0.996,0.91,0.536
19,0.342,1.175,1.557,0.297,0.321,1.843,0.436,0.364,0.311,0.318
20,0.453,0.486,0.356,0.517,0.301,0.454,1.21,0.34,1.189,0.383
21,0.32,0.48,0.38,0.702,0.365,0.372,0.3,0.766,0.863,0.325
22,0.301,0.421,0.696,0.822,0.62,0.368,0.335,0.381,1.034,0.781
23,0.368,0.746,0.456,0.524,0.392,0.351,1.201,0.627,0.991,0.486
24,0.363,1.14,0.489,21.499,1.21,0.401,0.753,0.956,1.109,0.909
25,0.431,0.912,0.594,0.445,0.571,1.807,0.726,1.099,0.385,0.346
26,0.365,1.093,0.74,0.387,0.467,0.398,0.473,0.29,0.38,0.432
27,0.368,0.564,0.836,0.331,0.906,0.408,1.067,0.327,0.998,0.484
28,0.413,0.861,0.71,0.37,0.681,1.786,0.381,0.391,1.304,0.422
29,0.402,0.326,0.701,0.291,0.46,0.413,0.38,0.402,1.385,0.457
mean,0.35086666666666666,0.5947333333333334,1.2799333333333338,1.2102333333333333,0.47946666666666665,0.5914,0.6515172413793104,0.6438,0.8296666666666668,0.5130666666666668
