,2-RS
0,31.454
1,22.399
2,116.456
3,81.358
4,5.272
5,6.196
6,2.63
7,116.924
8,9.084
9,113.929
10,100.956
11,262.037
12,6.118
13,107.755
14,270.434
15,197.292
16,10.649
17,33.913
18,25.549
19,178.55
20,28.676
21,307.473
22,113.908
23,132.462
24,273.772
25,34.1
26,177.042
27,134.027
28,258.006
29,4.543
