,5-PV
0,35.529
1,33.48
2,0.632
3,34.359
4,0.674
5,40.377
6,0.664
7,69.88
8,9.438
9,318.657
10,35.945
11,55.54
12,37.911
13,1.903
14,362.693
15,0.647
16,41.838
17,93.72200000000001
18,37.254
19,16.707
20,0.734
21,9.068
22,44.082
23,0.648
24,295.73
25,332.028
26,4.067
27,0.692
28,0.72
29,0.749
