,1-RS,2-RS,3-RS,4-RS,5-RS,6-RS,7-RS,8-RS,9-RS,10-RS
0,0.863,31.454,152.404,48.008,110.881,14.895,328.327,372.753,5.795,140.537
1,0.621,22.399,153.915,6.912,15.071,13.208,0.633,57.325,7.408,23.98
2,0.655,116.456,0.68,23.918,82.64699999999999,4.889,304.784,164.79,40.126,384.009
3,0.609,81.358,49.724,65.017,51.181,69.141,6.686,733.802,17.824,350.96500000000003
4,0.634,5.272,280.017,284.122,56.202,24.942,198.823,137.207,41.877,114.215
5,1.898,6.196,253.114,311.94,4.892,3.687,6.754,1.172,41.223,155.972
6,0.654,2.63,12.794,376.742,64.408,7.612,289.955,744.663,8.868,164.275
7,2.188,116.924,154.29399999999998,5.502,0.947,20.484,252.876,357.241,41.692,138.358
8,0.626,9.084,6.366,120.321,496.118,3.818,214.146,167.837,8.213,29.545
9,2.083,113.929,311.606,4.494,63.661,27.443,0.698,74.672,348.859,104.915
10,0.67,100.956,0.819,42.371,104.368,26.625,0.637,53.663,7.749,11.729
11,0.628,262.037,316.927,137.137,13.878,9.914,6.923,69.932,41.826,353.731
12,0.628,6.118,20.896,81.075,1.013,9.919,0.686,89.89699999999999,22.498,351.606
13,2.508,107.755,283.674,97.352,32.449,6.002,207.804,81.593,406.316,383.577
14,2.041,270.434,54.352,30.288,30.07,9.848,219.716,135.676,27.331,118.642
15,2.591,197.292,292.531,40.023,20.776,24.079,197.339,0.591,7.237,10.651
16,0.66,10.649,0.714,3.813,23.935,3.448,200.73,351.971,60.339,369.133
17,0.578,33.913,0.734,240.31,0.673,29.768,100.963,53.372,42.708,17.694
18,0.675,25.549,58.948,198.887,0.66,145.248,0.635,351.44100000000003,43.847,240.373
19,0.65,178.55,333.591,2.041,34.06,99.044,318.864,0.66,8.71,7.088
20,1.506,28.676,7.723,141.749,367.987,31.86,218.07,139.625,75.56,26.43
21,0.763,307.473,7.589,29.444,32.673,29.574,325.07,65.436,65.326,11.597
22,0.699,113.908,180.027,67.072,29.969,24.771,0.608,0.59,57.694,209.724
23,0.866,132.462,33.26,92.809,71.22,12.101,218.506,84.132,55.358,79.498
24,2.475,273.772,81.623,247.46,0.626,28.826,212.946,348.152,54.174,345.415
25,1.841,34.1,76.14699999999999,203.399,12.491,89.556,215.548,118.286,15.074,13.192
26,2.43,177.042,159.791,129.794,99.162,18.86,0.591,0.607,11.703,120.192
27,0.655,134.027,12.828,9.671,36.52,22.649,0.605,38.103,54.17,190.85
28,1.813,258.006,27.459,32.497,3.686,81.815,0.583,140.984,55.949,74.247
29,1.568,4.543,157.465,4.602,0.627,23.218,286.813,312.441,52.547,141.775
mean,1.235866666666667,105.43213333333331,116.06706666666666,102.62566666666665,62.095033333333326,30.5748,144.5773,174.95379999999994,57.60003333333334,156.13050000000004
