,2-PV
0,0.921
1,0.636
2,6.209
3,0.794
4,0.68
5,19.123
6,15.285
7,357.533
8,0.925
9,0.814
10,0.829
11,0.643
12,0.658
13,0.75
14,28.612
15,0.822
16,2.154
17,0.858
18,3.168
19,0.6
20,0.799
21,2.947
22,0.625
23,0.608
24,0.83
25,18.742
26,0.733
27,0.624
28,4.314
29,29.807
