,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.686,7.113,1.81,66.646,66.646,2.193,0.677,118.684,0.679,259.621
1,0.678,0.909,2.284,0.672,0.672,2.611,0.68,156.245,258.9,248.02
2,0.641,0.979,25.171,34.553,34.553,1.963,81.84,54.413,0.669,271.489
3,0.699,1.119,0.901,30.714,30.714,74.265,0.738,153.678,258.576,261.762
4,0.671,0.831,2.159,0.638,0.638,2.768,2.265,117.012,0.664,178.829
5,0.701,18.638,3.286,0.643,0.643,21.307,0.672,52.219,0.678,263.861
6,0.686,0.948,0.725,39.25,39.25,273.391,0.724,302.593,0.677,261.302
7,0.717,0.971,58.239,9.134,9.134,82.944,0.668,298.998,255.686,249.859
8,0.661,20.727,10.729,34.922,34.922,37.571,0.691,53.898,263.187,34.009
9,0.702,2.795,28.487,42.267,42.267,1.963,3.012,115.586,255.229,273.36
10,0.677,0.89,0.942,36.517,36.517,2.247,257.921,113.933,257.979,259.589
11,0.667,33.994,12.792,13.113,13.113,155.618,2.54,154.475,0.704,253.505
12,0.688,0.738,5.532,0.809,0.809,9.171,107.371,54.657,0.671,250.681
13,0.705,0.887,0.678,55.42,55.42,2.686,31.944,52.053,0.67,47.215
14,0.909,0.969,0.678,0.703,0.703,451.909,250.046,58.224,260.914,252.178
15,0.728,0.695,5.882,35.902,35.902,4.617,259.52,213.744,0.719,34.048
16,0.657,0.947,0.779,35.234,35.234,2.895,0.674,114.909,284.335,270.159
17,0.69,0.785,0.697,321.108,321.108,442.012,145.237,157.048,0.654,33.153
18,0.711,1.122,7.471,0.629,0.629,35.507,2.517,0.663,0.683,255.179
19,0.677,3.642,7.818,283.156,283.156,2.899,2.607,124.08,0.683,33.286
20,0.695,3.497,6.57,1.797,1.797,267.559,0.755,0.635,0.69,261.289
21,0.729,0.704,40.367,289.193,289.193,6.027,0.739,121.866,254.371,34.013
22,0.694,0.709,2.588,327.41700000000003,327.41700000000003,2.585,271.898,122.598,259.877,260.473
23,0.748,0.717,,7.832,7.832,267.595,286.883,157.025,0.683,257.019
24,0.693,0.699,,87.202,87.202,47.297,0.716,115.244,252.633,337.926
25,0.686,26.357,,40.576,40.576,10.85,1.848,154.402,263.954,47.844
26,0.67,0.944,,4.084,4.084,1.565,267.88,118.748,254.704,322.769
27,0.667,0.69,,0.647,0.647,62.1,2.001,0.656,267.062,280.83
28,0.683,5.078,,0.655,0.655,1.584,1.898,156.016,248.73,266.921
29,0.641,0.69,,2.03,2.03,20.248,1.728,155.766,260.39300000000003,304.829
mean,0.6952333333333336,4.659466666666665,9.851521739130435,60.115433333333335,60.115433333333335,76.59823333333333,66.28966666666666,119.00226666666667,138.86846666666668,212.1672666666667
