,3-RS
0,152.404
1,153.915
2,0.68
3,49.724
4,280.017
5,253.114
6,12.794
7,154.29399999999998
8,6.366
9,311.606
10,0.819
11,316.927
12,20.896
13,283.674
14,54.352
15,292.531
16,0.714
17,0.734
18,58.948
19,333.591
20,7.723
21,7.589
22,180.027
23,33.26
24,81.623
25,76.14699999999999
26,159.791
27,12.828
28,27.459
29,157.465
